sentence1	sentence2	label
我申请的一笔借款，想要取消	取消刚才借款	1
为满足微众银行审批要求是什么意思	不满足审批要求	1
2000元日息是多少钱？	借1万元一天要多少利息	1
身份信息输入错误，次数过多不能借款	出现身份证输入错误，可我输的都对的，说无法借款	1
审核电话时间	你好需要哪些条件才能审核通过	0
为何还不开通	微粒贷的申请需要什么条件	0
为什么告诉我审核不通过	为什么写着评估不通过	1
8年的用户还不邀请吗	不可以现在邀请下么我等了好久了	1
微信上的微粒贷和qq上的是否是相通的？	QQ微粒代跟微信有什么区别	1
你好，如果提前还清借款，那么借款时所计算出的所有利息都需要支付吗	20期的提前10期还款怎么算利息	1
我都没有接到电话	没接到申请电话	1
我现在要办房子按揭贷款，查到我九月份贷过5万，但是我已结清。需要结清证明	我需要开具结清证明	1
我还款正常，为什么不能借	为什么我还款之后不能借了	1
微粒贷什么时候能发放到我呢	1:何时会邀请我使用微粒贷2	1
昨天的借款申请不想申请了，想取消	没有申请成功可以取消借款吗？	1
1500是多少息一天	1万元日息一天多少	1
为什么我没有微离贷	为什么我没有微机粒贷	1
我现在想取消可以吗？怎么麻烦	取消申请	1
扣款失败	您好，我想问一下假如我贷一万元钱，分10个月还款，利息总共是八百元多，如果我提前将钱还上，也是要承受八百多元的利息吗？	0
钱提前三个月还完还可以再接吗	你好一般额度多久提升一次啊	0
为什么我的邮储银行卡绑定不了	总是提醒绑定支付码错误	0
借款失败的原因这是什么原因	1.借款失败原因	1
腾讯视频的会员	腾讯好莱坞会员	1
如何完善个人信息	你们要核实信息？	0
我在微信里找不到借钱	如果微信被盗。微众会盗嘛	0
何时会邀请我使用微粒贷微粒贷还没	开通需要什么条件	0
我想代贷	为什么我的一直无法借贷呀	0
有贷款优惠券吗	请问有没有优惠券了	1
怎么没有	怎么进入微粒贷	0
收到谢谢了	放款金额怎么升	0
你好，我现在还款你们可以开结清证明么	能出具还款证明吗	1
银行电话啥时候打	刚才发消息打电话未接通，请问什么时候打	1
还款逾期一天	能不能申请推迟一天还款？	1
不能实时恢复额度？	上次的贷款还清了，额度没有恢复	0
你好，我借的钱提前还清了，有结清证明吗	你好，我想问下还清了贷款可以开一个结清证明么？	1
更换手机号	怎么更改预留电话号码	1
借的钱不能用于什么地方	借的款可以用来还信用卡吗？	1
我什么时候可以借款	我现在是否可以再次贷款？	0
换卡不到	换卡了！怎么还款	0
为什么我的不能查询额度	你好，我为什么不能查看额度啊	1
多久能放贷	借款成功钱会打到哪里	0
我刚借贷了三千块钱，请问下一天的利息是多少	比如五千分五期怎么算	1
200元利息	你好，贷款利息多少	0
如何查我的账单	如何算出我还有多少钱没有还清	0
为什么说我评估不上	之前好端端的变评估未通过了	0
审批要求	没有满足微众银行的审批要求是什么	1
你未满足微众银行审批要求。是哪里没有满足?	为什么没满足微众银行审批	1
为什么没有额度信息呢？	为什么开通没额度？？？	1
28号凌晨扣款，28号上午才存钱是不是逾期了？	不方便，过两天一起还	0
额度多少	额度太小了	0
一般借款多久可以到账	为什么审核电话还没打给我	0
^_^怎么开通	麻烦帮我开通谢谢	0
可不可以更改还款日期	想更改还款日怎么	0
不满足审批条件	为什么我的审批没有过	1
非绑定向微众卡转帐吗	如何实现微众卡和绑定的银行卡的转账	1
借款后多长时间给打电话	贷款后多久接听电话	1
我刚借贷了三千块钱，请问下一天的利息是多少	这利息怎么算的？	1
比如我今天借了一万分10个月！结果我五个月的时候有能力还清！那么利息还是收取十个月的吗？	没到时间还清账单～利息怎么算	1
我要开一个结清证明	我还款完了，需要结清凭证	1
一般会在什么时间打电话	多久来电话审核	1
不符合借款要求是什么意思	不满足放款条件	1
一般电话通知需要多长时间？	为什么没电话打来	0
一次性还清还能再借吗	借了还想在借可以吗	0
借款后一般多久回复电话	借款后几个小时内打电话确认	1
伴我来开通	你们把我开通一下	1
为为什么我的微信没法微粒贷	为什么我没微粒带	1
什么时候可以借给我	我可以分批借款吗	0
为何没有	亲，能帮我快速办理吗	0
一次性提前还清就是按天收取利息？	一次性把款还完可以提升额度吗	0
10月17日借款什么时候还	一次性还完款后还能再次借款吗	0
不给我贷就别给我发消息好吗	不能贷你发消息干啊吗	1
一般银行到账要多久？	什么时候会到账	1
怎么才可以证明身份证	如何借款	0
为啥我的还没有给我打电话啊	什么时候给我打电话确认	1
刚才未接到电话。	刚才没接到您的电话	1
为什么昨天有次可以借了，今天又是综合评分不足呢	为嘛我第一次借了款提前还清了，现在说综合评估未通过借不了了	1
过去更多菜单	可以做什么用处	0
不符合要求是啥意思	上面显示无法满足	1
借到款一般多久到银行卡	多久微粒贷才能开放呀	0
10000元一天多钱费用	一千换多钱？	1
绑定的银行卡丢了怎么办	我要解除绑定的银行卡	1
获得更多菜单	我可以做一些什么金融	0
刚刚已经结清微粒贷的借款，能帮我发一张证明吗	你好，能不能跟我开个结清证明电子版	1
怎么开不了	那我怎么开通不了	1
怎么看不到额度了	为什么我没额度显示	1
你好，能删除我在钱包页面的微粒贷么	关闭微粒贷怎么操作	1
为什么我的还有额度却借不出来了	为什么我提前还完了再借怎么借不出来了	0
修改绑定卡	0910了，能换卡吗？	1
借款后多久会接到电话确认电话？	借款后多久可以接到电话	1
你好可以提高额度嘛	你好我的微粒贷额度可以申请提高吗？	1
你好请问是实名绑卡送话费吗	如果绑定了银行卡，解绑后，重新绑，这样也需要人脸验证？	0
借款是直接到银行卡还是到零钱	借来的钱是直接进入微信零钱么	1
怎么我今天借款。到下个月18号就有50的利息。是怎么算出来的	借款不用拿利息吗	0
为什么扣款失败	我卡上有钱，怎么总是扣款失败？	1
可以取出现金吗	借的借可以提现么	1
电话确认一般要多久啊	电话确认一般需要等多长时间？	1
老板干嘛不借钱给我呢？	给我审批一个微粒贷嘛老板	1
一万元一日利息多少	一千，息是多少	0
从新绑定银行卡需要怎么操作	修改绑定银行卡	1
为什么告诉我审核不通过	为什么借款回复是未通过了？	1
我错过了审核电话，要怎么才能重新申请	无信号，可以打座机吗	0
何处会邀请我使用微粒贷	关注两年都没有资格	0
罚息多少钱？	最低息是多少	0
我微粒贷在qq钱包怎么不见了？	请问一下我钱包里的微粒贷入口怎么不见了？	1
为什么提示输入的错误次数太多，无法借款	身份信息输入错误过多无法借款什么意思	1
为啥没我资格	QQ用户有邀请	0
为什么我的有额度借不出来钱，我一直都有按时还钱的啊	为什么有5000额度怎么借款不成功	1
如果有钱了一次还清，大概是多少钱？	你帮我看一下我一次还清是多少钱	1
在里面借款5天，要不要选择分几期	借款多长时间还呢？	0
不符合审批	2:未满足微众银行审批要求是什么意思3	1
1.怎么计算	微粒贷利息	1
还没有电话联系我呢	刚才没接到电话，什么时候再来电？	1
你好我想问你们2月2号还上班的不，我可能2号会贷款。	QQ微粒贷跟微信微粒贷分开	0
下载了怎么也不可以用	APP怎么下载不了？	0
能在后台查出贷款失败的原因吗？	借款没成功？	1
怎么关闭	我想关闭	1
我想问一下我借款选择分5个月还清，但是我可能3个月之内就可以还清，如果我3个月还清这个利息是按5个月的利息分期算的，还是就是我还清前按日利率算的	提前还款还收手续费吗？	0
我不要借了怎么取消	借款怎么取消呢	1
假如货一万每月还本金和息是多少？谢	借钱后怎么还款	0
安卓手机不支持吗	我手机为什么没有借钱工能呢	0
钱是到微信零钱吗？？	打电话来还是微信通知的	0
如何重新绑定新卡	可以重新绑定卡吗	1
以前的卡掉了重新邦定一张卡怎样邦？	如何重新绑定叧一张银行卡	1
还款证明	剩余借款全部还清有助于提升人品么	0
我本该15号扣款，但是由于平安银行系统维护，未能按时自动扣款，这样的逾期责任不应该由我们客户承担，导致征信记录不好	我现在转账到平安银行。17号可以自动还款的吗。	0
问下从微账号中转到其他银行卡，每天额度有限制吗	取消支付限额	0
什么时候下款	10分还没有到账	0
之前未借过，为何额度会减少	为什么额度降了一半？	1
如何更改绑定的还款卡	我想问一下，我想把还款的借记卡改一下，怎么操作呢？	1
我用别的银行卡怎么还款啊	我用其他银行卡还这期的款怎么不可以呢？？为什么要还清才可以用其他银行卡呢？	1
为什么我申请后还没到账	为什么款还没到帐？	1
你好，我想问下我这期可不可以下月再还？	一个额度分两次借款，还款时应该怎么还？	0
为什么又不通过	为什么我一直显示综合评估未通过啊	1
微信没借款功能	不想微信有借钱功能	0
借款10天，还后需要多少利息	4000元10个月利息多少	1
为什么总显示输入信息错误次数过多，无法借款	为什么提示输入的错误次数太多，无法借款	1
他说我未满足微众银行审批要求	你未满足微信银行审批要求	1
关闭借款	如何关闭	1
上午申请的什么时候打电话	申请微粒贷	0
我想撤消微粒贷	我想取消可以嘛？	1
审批不过	为什么说我没审批资格	0
可我没显示这个功能	别人都有这功能	0
微信需要什么资料才能开通	微粒贷申请时，会发验证码到手机号，请问那个手机号是什么手机号码，可以改吗	0
我以前的电话号码不用了，要咋更改？	我有两个电话号码怎样更改号码呢？	1
为什么一切正常，还款失败	为什么今早开始一直还款失败？卡里余额够的	1
为什么我的没通过	为什么我显示未满足贷款条件	1
2016年5月21日的借款记录，	想查一下还款记录	1
那如何取消呢	如何删除微粒贷啊	1
为何我申请时无法收到短信验证码	什么情况，验证码为什么要八九次	0
可我想贷怎么办	我想了解下借款	1
每天利息多钱	你好想问下，哪个利息是安天算的嘛	0
什么时间还款	为什么我的还款日在每个月3号	0
一般审核多久？	电话未接到，什么时候会再打？	0
为什么还不邀请我	为什么有邀请没有额度	0
绑定的银行卡没有了	借款会到微信绑定的银行卡内吗？	0
申请推迟几天还款可以吗	推后还款几天	0
不能人工提额	可不可以人工提额度	1
不是，我是说我上次借的钱这次一下全还上！下笔借款什么时候能借？	一次性还清，要等多久可以再借	1
没看到微粒贷	为什么我都符合条件，我都能看到借款额度4千，但是最后一步借钱，不能借	0
我昨天借的今天能还款吗？	4号还款包括4号当天吗	0
有看到图标，但显示无法满足审批	为满足微众审批要求	1
零钱不能还款？	可以用微信零钱还款吗	1
我的额度是多少	借款后额度何时恢复	0
你这里可以办信用卡吗？	东莞的银行。	0
不是说一笔还款还清后，额度会恢复	不能循环借钱吗	0
什么时候可以再次致电？	什么时候来电审核	0
15分钟了钱还没到	15分钟没到账怎么办	1
如何借款限时福利	限时福利还清款后可以再借吗	0
开通微粒dai	开通要求	0
为什么手机打不开	为什么我的手机不支持微粒袋？	1
何时可以邀请我	没人邀请	0
2月7日借的钱该什么时候还款	5000可以多久还	0
为什么我一直没有额度	为啥我没有额度？	1
可以取消微粒贷款吗	想取消贷款可以吗	1
什么时候能再次来电？	不好意思，刚才给360拦截了。麻烦从新打过来。	0
什么意思审核失败？	为何审核失败	1
为什么我已还款，但显示失败	为什么我提前还款怎么不行，总是提示失败？	0
为什么我又扣款失败呢？	上午扣款没扣成	1
你好。我想问下微信钱包里的钱能用来还款吗	你好请问一下这个借款后钱是到微信账号上了还什么	0
怎么调升额度	怎么样给我升额度	1
0.05%1万块钱一天多少利息	0.05利息	1
我的那里面没有微粒贷呀	为什么我不可以借钱	0
QQ钱包怎么找不到？	QQ信用那么高为什么没有微粒贷图标	1
如果没有在17点前划款怎么办	如何计算违约金	0
信息录入	你们要核实信息？	0
现在怎么开通不了	怎么打开不了	0
10000万每月还多少	20万一年连本带利多少钱	0
放款日	放款	0
为什么会支付失败呢	不能提现	0
这个是用几天算几天利息吗	如果今天借款什么时候还款不需要利息	0
我能改一下QQ钱包的密碼吗？	我要更改支付密码怎么操作	1
多久能收到银行电话？？	工商银行限额，还不了款	0
這個是從借款的那天就要開始算利息了嗎？	如果今天借款什么时候还款不需要利息	0
到还款期忘记存钱了，我是半夜想起来在当天的凌晨三点多还的，这个需要扣多少滞纳金？	为按时还款收取多少罚息	1
本来还款的帐号更改了怎么办	还款银行卡账户变更怎么办	1
一直登不上	什么意思？登录不了	1
微粒贷帮我可以解除吗	那能取消吗？	1
取消操作	取消刚才的订单行？	0
分了20期能提前还清余款吗？收手续费吗	如果我借款，短期提前还完贷款，还会继续收我的利息吗？	1
综合评估不通过是怎么回事，用不了	综合评分不通过	1
今天为什么不能登录，一直资源正在更新	下载了仍然无法登录。	1
你好一万块钱一月多少利息	你好我想问一下如果借19000,是按多长时间来还款，每个月还多少	0
为什么微粒贷开通不了？	我开通不了微粒戴	1
我说我电话号码换了	手机号已更改为	1
怎么可以修改还款卡号	怎么改卡还款	1
总行电话是多少	你们总行电话	1
借5000元分10个月还每月需要还多少？	24小时都能还款么	0
什么时候我才邀请我开通微粒带	刚收到通知怎么没通过	0
不符合审批要求，不能借款是什么问题	你不满足微众银行的的审批要求	1
苹果手机不可以登录吗？	手机预留号已经更改	0
借贷怎么算利息	怎么计算利息	1
微粒介绍	这个是你们客服电话吗	0
什么时候邀我，快点回复我不想最后一个被邀约	我申请的微粒贷银行还没打电话过	0
借款后能不能取消	借款不成功，如何取消借款	0
借款可以用来干什么	亲情付用途	0
我什么时候可以借钱	借款笔数	0
不好意思刚刚在吃饭，没有听到，在给我打个电话啊	你好，我刚才没接到你的电话，可以再打过来吗？	1
我的银行卡和银行预留的不一样	我现在换了电话号码，这个需要更换吗	1
hi，结款成功多久到账	一般款多久能贷下来	0
我提前还款可以分批还吗	能提前还贷？	1
为什么我没有微粒带	关键是我的微信钱包里就没有微粒贷	0
系统还款日为什么没有自动扣款	没有还款按钮	0
你这里可以代款吗	你好！贷款怎么操作	0
0910了，能换卡吗？	换卡了怎么更改银行卡	1
/微笑，我怎么还是没有微粒贷	1看不到微粒贷	0
我想咨询一下为什么我开户后，我的微信钱包里没有微粒货呢？	开户后可以借钱不	0
不可以过几天就全还上吗？	中间有次逾期，会影响后面的借贷吗？	0
刚才只是想点一下看看可不可以取消贷款	如何退贷	0
我什么时候可以借钱	何时我的微粒贷款可以借款	1
QQ钱包怎么进入？	QQ钱包在哪里	1
可以换卡还吗	银行卡的预留电话号码没有用了怎么办	0
借款失败咋回事	为什么我绑卡老是不成功。	0
五千块的利息怎么算？	利息百分之多少	1
不管分多少期，提前还款只需要还本金和使用过的利息？	借钱可以提前还款吗	0
我的还款日期	今天借今天就有还款？	0
为什么不能通过	为什么我申请微粒货不通过	0
卡号变更了更换了银行卡怎么处理？换卡	以前帮定的卡丢了.如何在换一张卡帮定呢	1
为满足微众银行审批要求	银行未审批	0
借款还款了额度怎么还没有恢复	为什么还款了额度还是0	1
为什么我微贷没有额度不公平	为什么出现微粒贷却没有额度	1
如何关闭比功能	如何关闭	1
何时向我开放	多久够资格	1
还款没有成功	还了两次，还是还款失败？	1
微粒贷开通满足什么条件	微粒贷是通过什么方式来查看有没有资格开通呢	1
我需要开还清借款凭证	我前面借款11000元已全额还清！能发个证明过来吗？	1
微粒贷的图标突然没有了	微粒贷入口消失了	1
自动还款失败	扣款失败，我在当天把钱还上，会不会打电话给预留电话	1
怎么苹果手机没有	我手机干嘛借不了，	1
我的手机怎么不显示？	为什么我手机没有贷款功能	1
你好，如何改变绑定的银行卡	如果微信没绑定银行卡就不会被邀请当微粒贷的客户吗	0
想请问一下我上面显示是未通审核要求是什么意思？有什么要求吗？	为什么审批不合格在人好好征信系统显示的是贷后审核	1
我可以提供资料	会不会风险很大，	0
手机停机	验证手机	0
为什么已经打过电话了还是显示等待电话审核状态呢	我之前审核的时候学历信息说错了	0
4号申请的怎么还没有电话确认	上班时间才打电话确认吗	0
我这个手机号码更换了	号码已经变更了	1
为什么会有身份证输入错误次数过多？	我要借款，但是搞来搞去身份证那边没看清填了好几次，最后说身份证输入次数过多，这个要怎么解决？	1
现在不能换卡，我要手动怎么还款	现在不能主动还款吗？	1
没还款怎么办	没解决	0
利息是怎么算的，比如贷二万利息是多少？	一千元一天多少利息	1
但是没联系我啊	为什么还接不到银行的电话？	1
我提前还款之后还可以再贷款吗	我提前还款为什么还了。银行又退回来了	0
我填写借款为什么显示身份信息填写多次错误无法借款？	为什么我借款，老是说身份信息输入错误次数过多？	1
可以用其它银行卡吗	能用别的银行卡还款吗	1
今日应还款，但还没有完成	及时全额还款会影响额度吗	0
不能还款	不能准时还款会有记录吗？	0
15号前还款，望见谅	1我是首次贷款今天发款的是下个月今天还款吗	0
刚刚改的银行预留手机号，但是借钱是获取验证码怎么还是发到我原来的预留号	收到的验证码还是原来的号码	1
为什么一直是等待银行电话确认	多久审批出来	0
还款可以申请延期几天吗？	晚还款	0
所以我就想取消微粒贷这个项目	怎么关闭借钱	1
10月12号凌晨怎么不自动扣款还款呢？	你好！怎么我的到时间扣费，怎么没扣？	1
您好，我的还款没有任何问题，为什么我现在不能借款了？	不能还款什么意思	0
扣款时间	使用几天就花几天的利息还是有固定期限	0
怎么去身份证验证	怎么样验证身份	1
你好，我想咨询	哇，你居然会说话	0
可以申请修改还款日期吗？	如何改还款日	1
换卡了怎么解	换卡了怎么还款	1
一个小时了还没有到账	什么时候开始放微粒贷？	0
借钱的话什么时候可以到帐	什么时候可以贷款给我	1
可以用别的银行卡还款吗？	我想用其他卡还钱	0
为什么我借款后，已经好几天都是显示，等待银行确认电话	为什么借款后显示银行电话确认，几个小时还没有接到电话	1
0.05借2000元，利息是多少钱	0.05利息是多少钱	1
何时出账单	微粒帐单	1
借还记录什么都没有	显示暂无借还记录	1
我为什么再次借款没有成功	为啥我的贷款申请失败呢？	1
我手机更换了	换一下手机号码	1
还清全部借款后还会产生利息吗	你好想问下，哪个利息是安天算的嘛	0
为什么凌晨没有扣款	17点为什么没扣费	0
如何申请更改还款日期	3#还款日期不能修改	1
不是说很快到账吗	为什么我借款输入秘密后就空白了，又没借到款	0
多久才提额	多久才可以提高额度呢	1
电话号更改	我的手机号码绑定不对	1
我怎么没有微粒代这个功能呢	微粒贷我微信怎么没有	1
21号没扣钱	你好,我帐户有钱,怎么没扣啊	1
何时会来	但要等多久呢	0
以前那个手机号换了怎么办	怎么换手机号	1
未收到电话	没接到电话	1
我不需要	取消银行	0
审核要求	如何登录	0
15天还款是算15天得利息吗？	1万一年多少利息	1
什么原因导致借款失败呢	能在后台查出贷款失败的原因吗？	1
我没有接到确认电话	没有接到回访电话	1
请你们将我的微粒贷额度降为0	为什么不升反给我降额了呢？	0
你好。能在微信直接还款吗	5分钟到帐，是到银行卡上，还是到微信号上	0
29000日利率是多少？	48000元日利率是多少？	1
我的额度多少	额度如何会涨	0
为什么卡里有钱，会显示扣款失败	上午没有扣款成功	1
我为什么关注了没有额度呢	为什么出现微粒贷却没有额度	1
怎么额度少	为什么借款额度这么低	1
怎么才有微粒贷	微粒贷怎么贷	0
何时会邀请	何时邀请	1
还有几位	手动还款	0
一次性全部还清！后面还可以继续申请借款吗	今天我把所有的欠款提前还清额度还会实时回复吗？	1
为何我提交了还没有到账	已申请未到账	1
APP下载	APP要下载的吗	1
50%是多少，给算算逾期罚息50%是多少，假入229本月没还，一天罚多少呢	罚款	0
40000，多少一个月	10000借一年，利息多少？	0
我的怎么用不了	如何使用	1
不支持微信和支付宝绑卡	中国邮政银行卡，需要开通网银吗	1
如何查询到账	如何知道钱是否到了账户上	1
不满18岁可以申请银行卡吗	中国银行转账到微众银行账号或者微众银行转账到自己银行卡，是即使到账还是等待一段时间？	0
购买定期有年龄限制？	微众银行资金转出次数限制吗？	0
为什么我的没有通过	为什么开通不了	1
能不能先取消	能取消借款吗？	1
开通微粒贷款	开通微粒带	1
不好意思，刚没注意，电话就没了。下个确认电话，什么时候打呢？	到底是要等多久	0
我第第一批还款扣了吗？	还款是当天还进去就行了吗？不限上午和下午吧	0
还款日能推迟一两天么	能不能更改还款日期	1
怎么更改预留电话号码	预留的电话号码停用，怎样更改	1
还款卡上用钱了，可以扣了	以冲钱，可扣了，不好意思忘了	1
提现	去银行可取现金吧	1
提前额度	还多少金额也会有提示吧	0
我想看下我的每月账单	我想了解一下我的账单情况	1
你好，还款是几号到几号	那我什么时候可以还款	0
借款是否可以取现？	我借到的钱可以到银行取现金出来的吧？	1
不是说一笔还款还清后，额度会恢复	10月17日借款什么时候还	0
怎么得额度	查询我的额度	1
显示您未满足微众银行审批要求是怎么回事？	为什么我未满足审批要求？	1
开户，获取验证码，点击不了	还是开户失败…请求未处理	1
借款后多久电话审核	借款后多久可以接到电话	1
提示未通过微信银行的审批要求是什么情况	为什么我未满足条件	1
如何更换绑定的还款银行卡号	如果微粒贷自动扣款后，卡里余额不足，当天往卡里存了钱后，还会自动扣款吗	0
什么时候可以开通微粒贷	一直无收到电话	0
你司可以发结清帐单吗	你好，我想问下还清了贷款可以开一个结清证明么？	1
Q龄够3年以上不是可以开通微粒贷的	开通微粒带	1
怎么我今天借款。到下个月18号就有50的利息。是怎么算出来的	利息	0
2千块钱一天的利息是多少啊	10000元一个月的利息为150对吗	0
刚才没接到电话	刚才没信号	1
你好，这个东西不像信用卡有什么年费之类的吧？	开通要钱不	1
为什么我无法满足审核条件	一般多久收到钱	0
有微粒贷，但不符合条件	为什么显示未满足微众银行审批要求	1
为什么验证码收不到	开通出不了验证码	1
为什么我的微信没有显示微粒贷这个服	1:看不到微粒贷图	1
为什么你们的客服电话打不进去	为什么打客服电话是空号那	1
一直让输入验证码，没有显示借钱成功是什么情况	一直收不住验证码怎么回事	0
我换手机号了，怎么改呢	电话预留更改	1
为什么还款失败	为什么还款失败？卡里的钱是够的	0
我现在想一次还清，需要开结清证明怎么开	你问如何开结清证明	1
已逾期	会不会产生逾期	0
贷款4千需要多久到账	没钱呢	0
为什么我的微粒贷未审核	为什么我为满足审核	1
一次晚上电话我没接到	刚才电话没接到怎么办多久会在打过来	1
开通微粒贷款	开通微粒dai	1
怎么主动还每月该还的款	请问我本是一月3号的还款日我想今天就还本期的欠款如何操作	1
已经过一天了，卡上一值有钱啊	一般凌晨几点扣款	0
你们客服热线是多少？	人工客服怎么联系	1
我消费那么多都不邀请	消费那么多怎么没名额	1
为什么开通了微粒，但是没有额度	为什么无法看到可用额度	0
1000块日利是多少	2000日利率百分0.05是一天多少	1
你好，想请问一下，为什么我还款了，在微粒贷借款里面的余额不增加呢	Qq怎么还款	0
还款期限	今天借明天还上的话，有手续费吗	0
你好为什么没有还款扣款成功呢	你好！我明天还款，但钱还没存入，如果明天上午没有扣成功，二次扣款是几点	0
如何认证身份	下午申请大概几时有信息	0
更改电话号码	电话换了怎么更改？	1
你们倒是扣款啊，都逾期了呀！！！	为什么我的银行扣款了，却说我逾期了	0
借款只能用于购物？	借的款可用于还信用卡吗	1
什么时候可以有借款资格	什么时候可以借钱给我？	1
为什么点开都是分期	一定是分期还款吗	1
解绑银行卡	绑卡后由流沙送流量啊	0
提前还清额度会即时灰服吗	提前还清借款能不能在原来的额度上提高额度	0
借贷怎么算利息	怎么算息	1
我想把他关掉，怎么操作	能帮我关闭微粒贷吗？	1
我申请邦定银行卡怎么不能用	为什么我银行卡绑定不鸟	1
你好我这边要你们那边提供我的结清证明	你好我想问下，结清证明能不能打给我	1
如何变更还款日	3#还款日期不能修改	1
今天还了钱，明天还能借吗	循环借？	0
2500元一天,利息是多少	借款可以借多久	0
我有良好还款记录，为啥现在不能借？	不能还款什么意思	0
345序号问题	234的问题能回答吗	0
不可以过几天就全还上吗？	不能。每月都要逾期3天这样对信誉不好吧	0
更换卡后，如何还款	这个月还款的储蓄卡，改了怎么办，	1
怎么样更改号码	我的电话需要怎么更改	1
整存整取还给存单吗	定期存款的证明和银行的存单一样吗	1
申请微粒贷试用微粒贷开通微粒贷	微粒贷怎么样才能贷款微粒贷	0
QQ上的借钱跟微信上的微粒贷金额是通用的吗	QQ上的微粒贷客服号是真的吗	0
取消刚才借款	可否取消借款	1
提交后显示未满足审批要求	未满足微众银行审批是什么意思	1
借钱多久客服会打电话确认？	一般要等多久才能来电通知？	1
人工提额可以吗	可不可以人工提额度	1
啊：邀请我；/微笑/微笑	上次不是说邀请我吗	1
1500分二十个月还完。一个月要还多少	个人日常消费指的是什么	0
我怎么查额度？	从哪里查额度	1
怎么样才能通过审批	为什么不能审批	1
从活期转到银行卡有没有额度限制	活期提现限额是多少？	1
九月账单	下月账单	1
怎么我的帐号登录不了APP呢？	怎么登录又闪退？	0
今天借、那到什么时候还不扣利息吗	多长时间内还款不收费	1
两笔借款还款日	昨天应该还款误了，今天不算迂期吧	0
我这期钱还了没有	我上次分期晚还了一天，对我有影响吗?影响下次的借款嘛?	0
你好，我以前绑定手机号变了，银行卡也变更回来了，为什么借款最后那个验证码还是要用以前手机号	为什么验证码发另—个号码	1
你好，这个东西不像信用卡有什么年费之类的吧？	你好你们这个需要费用吗？	1
我已经到银行更换了手机号码	我说的是换手机，号码不变？	0
2月1号借款，还款日应该是哪一天	今天还款日	0
QQ里面的微粒贷和微信里的是一样的吗	借款下一步总是卡在那里	0
验证码正确。	我说我把微信支付验证码又打回去啦，这样有风险吗	0
例如借3000元，日息是1.5元吗	利息是不是我还清了就不算了	0
怎么苹果手机没有	我的手机怎么不显示？	1
一班多久才能通过	什么时候全面开	0
我问我有一笔还款昨天为何没有扣款？	今天怎么还没有扣款	1
什么意思	银行处理失败	0
下个月一起还行不行	不好意思，在乡下今天忘存钱明天能行吗？	0
提前全额还清欠款，能不能恢复额度	提前还款以为额度有提额。怎么反过来出个评分不足啊！要怎么弄。都借款三次了。怎么会发生这样的呢？？？	0
第二次还款失败	还款未成功	1
开通下微粒贷啊	开通要求	0
2天了，怎么还没打电话啊	上午通过qq申请过了，下午没接电话，什么时候重新来电呢	0
你好，为什么还款不成功？谢谢	为什么用农业银行还贷的时候我的银行卡钱扣了，微粒贷却提示还款失败	0
以前的手机掉了	修改电话号码	1
手机号码换了怎么样更改	我换手机号	1
你们是根据什么评估的	综合评分标准	1
我再确认一下，你们的利息计算方式	如果借五千那一天多少利息	1
借款审核期限是多久	借款期限最短5个月，我只借用十天怎么计算利息	0
为什么最近QQ号和微信号都登录不了了	为什么微信账号登陆不了了	1
安卓手机不支持吗	安卓系统的不可用吗	1
绑定手机号错误	除了没有换手机，其他办法都试过了	0
如何取消微粒贷服务	微粒贷怎么取消	1
啥时候再打确认电话～第一个没接到	刚才电话确认没有接到	1
开户都开不了	海外用户开不了户口	0
下次借贷什么时候	何时会邀请我使用微利贷？没有微利贷可以申请借钱吗	0
为什么我的身份验证不了	后期借钱还需要身份验证吗	0
刚刚申请了请问何时能收到贷	以什么为标准何时我才会有微粒贷	0
刚吃晚饭，电话没接到	电话正在通话中，没接到！	1
借款后多久会接到电话呢？	借款后为什么没有电话打进来确认	0
刚刚手机没钱了现在可以打了	iOS7支持吗？	0
17号怎么没有自动还款，平安银行	4.16凌晨还款没有扣款成功怎么办	0
为什么评分不过啊	之前一直能正常借钱，这次还款之后额度显示有1000，但是借钱却提示综合评估未通过	0
申请借款后多久会接到电话确认？	申请借款后电话确认大概要多久才来电？	1
我手机里为什么没有微粒贷	我09年就用拍拍买东西，为什么没有微粒贷	1
多久能放贷	以什么为标准何时我才会有微粒贷	0
我要申请借款，我这么老的消费用户为啥不给我名额呢，qq各项消费我也不低了	是不是老从网上买东西的才可以呢？	1
网络正常，无法登陆	解除了微信邦定登录不了	1
剩余应该还款	剩余还款	1
去银行可取现金吧	请问这个钱可以取出来用吗	1
账单详情	电子借据	0
QQ钱包为什么没有	发消息说我获得资格点击进去又说我没资格。真会玩	0
人行征信是什么意思	怎么评分	0
我逾期收了多少罚息	要是一年还的话大概多少息？或者半年	0
用别的银行卡怎么还款	其他银行卡还款	1
为什么提示请求信息非法，借款失败	无法借钱是什么意思！	1
我想问下我借你们的钱是怎么算利息的，是有限时间多久还还是怎样	贷款利率怎么算	0
我可不可以贷款啊	怎样才能贷到款	1
12号到期还款的，可是好像还没扣款	不扣款？？？今天还款日，不扣？	1
验证手机号码更改	更改手机	1
电话无信号	等了20分钟电话都没打过来	0
一直显示无法借钱	QQ微粒贷不可以借钱了？	1
记得好像有过页面，我鼓捣过，后来微粒页面又消失了	我的微粒贷还款记录怎么不见了	1
我的联系方式，电话	我现在想冲钱进去怎么充	0
